candidate_id,rank,score,reasoning
CAND_0065927,85,0.5637,Relevant title (Senior Software Engineer (ML)) with 6.5 YOE; high notice period/availability risk.
CAND_0058688,86,0.5633,Relevant title (AI Engineer) with 6.7 YOE.
CAND_0064331,87,0.5621,Relevant title (Senior Software Engineer (ML)) with 4.2 YOE; high notice period/availability risk.
CAND_0069248,88,0.5618,Relevant title (AI Research Engineer) with 5.4 YOE; high notice period/availability risk.
CAND_0018888,89,0.5616,Relevant title (AI Research Engineer) with 6.5 YOE; high notice period/availability risk.
CAND_0066309,90,0.5609,Relevant title (Senior Software Engineer (ML)) with 5.3 YOE; high notice period/availability risk.
CAND_0015643,91,0.5602,Relevant title (AI Research Engineer) with 5.8 YOE; high notice period/availability risk.
CAND_0088438,92,0.5601,Relevant title (Senior Software Engineer (ML)) with 6.6 YOE; high notice period/availability risk.
CAND_0089362,93,0.5599,Relevant title (Data Engineer) with 7.1 YOE; proven production ML experience; high notice period/availability risk.
CAND_0050454,94,0.5594,Relevant title (AI Engineer) with 6.8 YOE.
CAND_0078669,95,0.5592,Relevant title (ML Engineer) with 6.3 YOE; high notice period/availability risk.
CAND_0002120,96,0.5591,Relevant title (ML Engineer) with 6.5 YOE.
CAND_0055139,97,0.559,Relevant title (ML Engineer) with 6.9 YOE; high notice period/availability risk.
CAND_0020224,98,0.5588,Relevant title (Data Engineer) with 7.3 YOE; proven production ML experience; high notice period/availability risk.
CAND_0024620,99,0.5586,Relevant title (AI Engineer) with 5.9 YOE.
CAND_0067535,100,0.5582,Relevant title (Junior ML Engineer) with 6.8 YOE.
